perplexity,early_exaggeration,pca_components,metric,explained_variance,spearman_rho,p_value,n_pairs,pdf,status,error
50,100,40,cosine,0.35032461509954776,0.7578904764308104,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p50_e100_pca40_cosine.pdf,OK,
60,100,40,cosine,0.35032461509954776,0.7578701490950449,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p60_e100_pca40_cosine.pdf,OK,
60,12,40,cosine,0.35032461509954776,0.7559272599673399,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p60_e12_pca40_cosine.pdf,OK,
50,10,40,cosine,0.35032461509954776,0.7558742455988212,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p50_e10_pca40_cosine.pdf,OK,
80,20,40,cosine,0.35032461509954776,0.7549422859183913,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e20_pca40_cosine.pdf,OK,
90,20,40,cosine,0.5380560083809225,0.7545323687063787,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e20_pca40_cosine.pdf,OK,
70,10,40,euclidean,0.18691083958386828,0.7543313257257009,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e10_pca40_euclidean.pdf,OK,
90,100,40,cosine,0.35032461509954776,0.7532571212448729,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e100_pca40_cosine.pdf,OK,
100,20,40,cosine,0.5380560083809225,0.7532490369168287,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e20_pca40_cosine.pdf,OK,
90,14,40,euclidean,0.18691083958386828,0.7530154809994712,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e14_pca40_euclidean.pdf,OK,
80,12,40,euclidean,0.18691083958386828,0.7528684444777608,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e12_pca40_euclidean.pdf,OK,
60,14,40,cosine,0.35032461509954776,0.7524351417480025,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p60_e14_pca40_cosine.pdf,OK,
70,20,40,cosine,0.35032461509954776,0.7510950896518637,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e20_pca40_cosine.pdf,OK,
20,12,40,manhattan,0.18691083958386828,0.7510039450253464,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p20_e12_pca40_manhattan.pdf,OK,
50,100,40,euclidean,0.18691083958386828,0.7510033768465229,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p50_e100_pca40_euclidean.pdf,OK,
100,10,40,cosine,0.43902228105585533,0.7505102340293662,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e10_pca40_cosine.pdf,OK,
80,10,40,cosine,0.18691083958386828,0.7498552217111691,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e10_pca40_cosine.pdf,OK,
100,20,40,cosine,0.43902228105585533,0.7497161444603045,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e20_pca40_cosine.pdf,OK,
30,10,40,euclidean,0.18691083958386828,0.7496186601017962,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p30_e10_pca40_euclidean.pdf,OK,
20,100,40,euclidean,0.18691083958386828,0.7485578332028776,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p20_e100_pca40_euclidean.pdf,OK,
50,12,40,cosine,0.35032461509954776,0.7485508083807535,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p50_e12_pca40_cosine.pdf,OK,
40,10,40,cosine,0.35032461509954776,0.7484662650738427,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p40_e10_pca40_cosine.pdf,OK,
80,14,40,euclidean,0.18691083958386828,0.74783440561921,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e14_pca40_euclidean.pdf,OK,
100,20,40,euclidean,0.18691083958386828,0.7476810394122261,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e20_pca40_euclidean.pdf,OK,
90,10,40,cosine,0.43902228105585533,0.7476474554133139,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e10_pca40_cosine.pdf,OK,
100,300,40,cosine,0.18691083958386828,0.7475874208120586,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e300_pca40_cosine.pdf,OK,
70,12,40,euclidean,0.18691083958386828,0.7475186343605135,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e12_pca40_euclidean.pdf,OK,
100,12,40,cosine,0.43902228105585533,0.746942922929134,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e12_pca40_cosine.pdf,OK,
40,12,40,cosine,0.35032461509954776,0.7467978960928787,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p40_e12_pca40_cosine.pdf,OK,
20,14,40,manhattan,0.18691083958386828,0.7465267429735061,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p20_e14_pca40_manhattan.pdf,OK,
70,100,40,cosine,0.35032461509954776,0.7462985715252167,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e100_pca40_cosine.pdf,OK,
90,12,40,cosine,0.43902228105585533,0.7462944050171538,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e12_pca40_cosine.pdf,OK,
30,300,40,euclidean,0.18691083958386828,0.7457922734928502,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p30_e300_pca40_euclidean.pdf,OK,
50,14,40,cosine,0.35032461509954776,0.7452438966149303,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p50_e14_pca40_cosine.pdf,OK,
100,14,40,cosine,0.43902228105585533,0.7451866737404527,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e14_pca40_cosine.pdf,OK,
40,100,40,cosine,0.35032461509954776,0.7450022173169734,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p40_e100_pca40_cosine.pdf,OK,
30,10,40,cosine,0.35032461509954776,0.7440648126775644,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p30_e10_pca40_cosine.pdf,OK,
100,10,40,cosine,0.18691083958386828,0.7438831620621509,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p100_e10_pca40_cosine.pdf,OK,
80,10,40,cosine,0.43902228105585533,0.7438680724147376,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e10_pca40_cosine.pdf,OK,
60,10,40,euclidean,0.18691083958386828,0.743566300255329,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p60_e10_pca40_euclidean.pdf,OK,
60,20,40,cosine,0.35032461509954776,0.7432508706737313,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p60_e20_pca40_cosine.pdf,OK,
80,12,40,cosine,0.43902228105585533,0.7426821245855871,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p80_e12_pca40_cosine.pdf,OK,
90,20,40,cosine,0.43902228105585533,0.7424425666586577,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e20_pca40_cosine.pdf,OK,
90,14,40,cosine,0.43902228105585533,0.7420769831324503,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e14_pca40_cosine.pdf,OK,
30,12,40,euclidean,0.18691083958386828,0.7420322207071977,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p30_e12_pca40_euclidean.pdf,OK,
90,20,40,euclidean,0.18691083958386828,0.7415592077491788,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e20_pca40_euclidean.pdf,OK,
70,14,40,euclidean,0.18691083958386828,0.7414127210759492,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e14_pca40_euclidean.pdf,OK,
70,10,40,cosine,0.43902228105585533,0.7413888347473707,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e10_pca40_cosine.pdf,OK,
60,100,40,manhattan,0.18691083958386828,0.7412112158817147,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p60_e100_pca40_manhattan.pdf,OK,
70,100,40,cosine,0.43902228105585533,0.740716679576116,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p70_e100_pca40_cosine.pdf,OK,
40,14,40,cosine,0.35032461509954776,0.740604104340844,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p40_e14_pca40_cosine.pdf,OK,
40,100,40,euclidean,0.18691083958386828,0.7402817785211416,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p40_e100_pca40_euclidean.pdf,OK,
90,10,40,cosine,0.18691083958386828,0.7401312953785472,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p90_e10_pca40_cosine.pdf,OK,
30,14,40,euclidean,0.18691083958386828,0.7392996779836559,0.0,99986,merged_H3_V1_year_VIRGO_tsne_shepard_results/pdf/tsne_shepard _p30_e14_pca40_euclidean.pdf,OK,
