Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[20], FRANGE = (3, 30), QRANGE = (16, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20.0, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-02T12:30:32.100000Z | Window=±20s | Peak=5.7036e+03 | Mean=4.7215e+01
Trigger=2025-02-02T13:40:50.760000Z | Window=±20s | Peak=1.9216e+02 | Mean=5.5609e+00
Trigger=2025-02-02T14:30:10.720000Z | Window=±20s | Peak=1.2087e+03 | Mean=5.8730e+00
Trigger=2025-02-02T14:40:05.720000Z | Window=±20s | Peak=2.0172e+03 | Mean=7.7216e+00
Trigger=2025-02-02T15:20:28.650000Z | Window=±20s | Peak=1.9823e+03 | Mean=4.2044e+00
Trigger=2025-02-02T16:12:38.770000Z | Window=±20s | Peak=8.3270e+02 | Mean=4.8046e+00
Trigger=2025-02-02T16:30:14.210000Z | Window=±20s | Peak=1.2791e+03 | Mean=7.4873e+00
Trigger=2025-02-02T17:44:10.660000Z | Window=±20s | Peak=1.9946e+03 | Mean=6.0006e+00
Trigger=2025-02-02T19:08:22.240000Z | Window=±20s | Peak=2.9197e+02 | Mean=3.2868e+00
Trigger=2025-02-02T20:15:18.960000Z | Window=±20s | Peak=1.8217e+03 | Mean=3.1194e+00
Trigger=2025-02-02T21:28:58.040000Z | Window=±20s | Peak=1.8655e+04 | Mean=3.9863e+02
Trigger=2025-02-02T23:11:57.890000Z | Window=±20s | Peak=7.0709e+02 | Mean=3.7876e+00
Trigger=2025-02-03T02:58:29.100000Z | Window=±20s | Peak=1.6511e+03 | Mean=8.1433e+00
Trigger=2025-02-03T03:14:31.120000Z | Window=±20s | Peak=1.4116e+03 | Mean=7.6064e+00
Trigger=2025-02-03T03:15:12.910000Z | Window=±20s | Peak=1.2517e+03 | Mean=4.9688e+00
Trigger=2025-02-03T03:50:20.520000Z | Window=±20s | Peak=5.5432e+02 | Mean=3.4417e+00
Trigger=2025-02-03T04:57:33.520000Z | Window=±20s | Peak=4.5445e+02 | Mean=5.1260e+00
Trigger=2025-02-03T04:58:01.970000Z | Window=±20s | Peak=1.9620e+03 | Mean=1.0759e+01
