Start time: 2025-01-31T23:59:57.260000Z 
End time: 2025-02-06T09:16:42.810000Z
Inputs: WINDOWS =[12], FRANGE = (3, 30), QRANGE = (10, 32), PEAK_SEARCH_WINDOW = 0.5, WHITHEN = True
Parameters: sta = 0.5, lta = 60, on_threshold = 20, off_threshold = 1.5
============================================================
SUMMARY
============================================================
Trigger=2025-02-02T13:40:50.760000Z | Window=±12s | Peak=1.8106e+02 | Mean=5.7242e+00
Trigger=2025-02-02T14:30:10.720000Z | Window=±12s | Peak=1.0727e+03 | Mean=8.0886e+00
Trigger=2025-02-02T14:40:05.720000Z | Window=±12s | Peak=1.4460e+03 | Mean=5.9258e+00
Trigger=2025-02-02T15:20:28.650000Z | Window=±12s | Peak=1.4413e+03 | Mean=4.3938e+00
Trigger=2025-02-02T16:12:38.770000Z | Window=±12s | Peak=2.6743e+02 | Mean=4.2222e+00
Trigger=2025-02-02T16:30:14.210000Z | Window=±12s | Peak=7.7972e+02 | Mean=7.7490e+00
Trigger=2025-02-02T17:44:10.660000Z | Window=±12s | Peak=1.9317e+03 | Mean=8.0535e+00
Trigger=2025-02-02T19:08:22.240000Z | Window=±12s | Peak=2.4693e+02 | Mean=2.9338e+00
Trigger=2025-02-02T20:15:18.960000Z | Window=±12s | Peak=1.4378e+03 | Mean=3.4736e+00
Trigger=2025-02-02T21:28:58.040000Z | Window=±12s | Peak=2.7020e+04 | Mean=3.6546e+02
Trigger=2025-02-02T23:11:57.890000Z | Window=±12s | Peak=5.9200e+02 | Mean=4.8040e+00
Trigger=2025-02-03T02:58:29.100000Z | Window=±12s | Peak=1.6291e+03 | Mean=8.1132e+00
Trigger=2025-02-03T03:14:31.120000Z | Window=±12s | Peak=1.1341e+03 | Mean=8.9883e+00
Trigger=2025-02-03T03:15:12.910000Z | Window=±12s | Peak=5.6570e+02 | Mean=3.8560e+00
Trigger=2025-02-03T03:50:20.520000Z | Window=±12s | Peak=5.6436e+02 | Mean=3.9734e+00
Trigger=2025-02-03T04:57:33.520000Z | Window=±12s | Peak=3.9004e+02 | Mean=4.1773e+00
Trigger=2025-02-03T04:58:01.970000Z | Window=±12s | Peak=9.2469e+02 | Mean=8.2253e+00
Trigger=2025-02-03T05:20:46.660000Z | Window=±12s | Peak=4.6404e+02 | Mean=4.4835e+00
Trigger=2025-02-03T05:37:54.600000Z | Window=±12s | Peak=1.6354e+02 | Mean=4.7465e+00
Trigger=2025-02-03T05:48:34.140000Z | Window=±12s | Peak=2.3043e+02 | Mean=2.9138e+00
Trigger=2025-02-03T06:16:09.980000Z | Window=±12s | Peak=4.6546e+02 | Mean=4.1911e+00
Trigger=2025-02-03T06:25:28.610000Z | Window=±12s | Peak=6.4886e+02 | Mean=5.8061e+00
Trigger=2025-02-03T06:27:09.880000Z | Window=±12s | Peak=1.7077e+03 | Mean=8.2554e+00
Trigger=2025-02-03T06:39:14.200000Z | Window=±12s | Peak=2.0742e+03 | Mean=5.1849e+00
Trigger=2025-02-03T07:30:09.160000Z | Window=±12s | Peak=9.4028e+02 | Mean=2.9166e+00
Trigger=2025-02-03T07:36:56.370000Z | Window=±12s | Peak=3.2237e+03 | Mean=9.5952e+00
Trigger=2025-02-03T07:58:59.650000Z | Window=±12s | Peak=1.5950e+02 | Mean=2.8077e+00
Trigger=2025-02-03T07:59:12.080000Z | Window=±12s | Peak=4.1902e+02 | Mean=3.1515e+00
Trigger=2025-02-03T08:18:42.030000Z | Window=±12s | Peak=3.4043e+02 | Mean=3.6990e+00
Trigger=2025-02-03T08:19:11.780000Z | Window=±12s | Peak=8.8119e+02 | Mean=6.2224e+00
Trigger=2025-02-03T08:31:48.100000Z | Window=±12s | Peak=4.1399e+02 | Mean=3.4522e+00
Trigger=2025-02-03T09:02:03.700000Z | Window=±12s | Peak=7.2686e+02 | Mean=6.7867e+00
Trigger=2025-02-03T09:32:00.620000Z | Window=±12s | Peak=8.9944e+02 | Mean=2.4559e+00
Trigger=2025-02-03T09:34:51.570000Z | Window=±12s | Peak=1.0066e+03 | Mean=4.6851e+00
Trigger=2025-02-03T09:35:27.630000Z | Window=±12s | Peak=1.0001e+03 | Mean=4.9064e+00
Trigger=2025-02-03T09:42:34.990000Z | Window=±12s | Peak=1.4273e+03 | Mean=1.2028e+01
Trigger=2025-02-03T09:46:34.940000Z | Window=±12s | Peak=2.9777e+02 | Mean=4.2901e+00
Trigger=2025-02-03T09:55:50.120000Z | Window=±12s | Peak=7.4337e+02 | Mean=5.4292e+00
