N_Neighbors,Min_dist,Repulsion_str,metric,spearman_rho,p_value,n_pairs,pdf,status,error
1000,0.99,5.0,cosine,0.42601437446772444,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.99_repstr5.0_cosine.pdf,OK,
5,0.5,2.0,cosine,0.42600819232722364,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.5_repstr2.0_cosine.pdf,OK,
100,0.5,5.0,cosine,0.4259874102905861,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.5_repstr5.0_cosine.pdf,OK,
200,0.1,100.0,cosine,0.42597139639898984,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.1_repstr100.0_cosine.pdf,OK,
200,0.8,10.0,manhattan,0.42595778842930465,0.0,99990,umap_shepard_results/pdf/umap_shepard _n200_m0.8_repstr10.0_manhattan.pdf,OK,
1000,0.1,10.0,euclidean,0.4259503800457952,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.1_repstr10.0_euclidean.pdf,OK,
5,0.0,5.0,euclidean,0.4259411237214653,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.0_repstr5.0_euclidean.pdf,OK,
2,0.25,0.5,manhattan,0.42594030234997693,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.25_repstr0.5_manhattan.pdf,OK,
100,0.5,0.5,euclidean,0.4259391271269374,0.0,99990,umap_shepard_results/pdf/umap_shepard _n100_m0.5_repstr0.5_euclidean.pdf,OK,
1000,0.8,0.5,euclidean,0.4259308522565763,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.8_repstr0.5_euclidean.pdf,OK,
1000,0.5,1.0,euclidean,0.4259063201913015,0.0,99990,umap_shepard_results/pdf/umap_shepard _n1000_m0.5_repstr1.0_euclidean.pdf,OK,
5,0.99,1.0,cosine,0.42590462739947904,0.0,99990,umap_shepard_results/pdf/umap_shepard _n5_m0.99_repstr1.0_cosine.pdf,OK,
2,0.0,1.0,manhattan,0.4258915344148834,0.0,99990,umap_shepard_results/pdf/umap_shepard _n2_m0.0_repstr1.0_manhattan.pdf,OK,
